id,competencia,descricao,ativo
1,Integridade Pessoal,"Quando cometo um erro, considero importante refletir sobre ele e aprender com a experiência.",1
2,Honestidade,"Em situações desafiadoras, às vezes é difícil ser completamente honesto, mas tento ser transparente",1
3,Bom senso,"Em situações complexas, procuro avaliar rapidamente os fatos antes de tomar uma decisão.",1
4,Manter a compostura,"Em situações estressantes, faço um esforço consciente para manter a calma e focar na solução.",1
5,Gerenciar Recursos Humanos,Considero o treinamento de novos funcionários uma parte essencial para o sucesso da equipe.,1
6,Rede de relacionamento,Gosto de conectar pessoas que conheço quando vejo que elas podem se beneficiar mutuamente.,1
7,Agilidade organizacional,"Numa equipe, o trabalho colaborativo é importante para identificar e superar obstáculos de maneira eficaz.",1
8,Política organizacional,Acredito que é possível ser diplomático no trabalho e ainda assim manter a honestidade.,1
9,Ajustar a visão,Prefiro aprender e explorar novas informações conforme avanço nos projetos.,1
10,Pensar globalmente,Valorizo a oportunidade de aprender sobre diferentes culturas e perspectivas.,1
11,Conhecer o ambiente externo,Procuro me manter atualizado sobre as últimas informações e tendências no meu campo.,1
12,Orientado para o detalhe,Valorizo a atenção aos detalhes e busco garantir a precisão no meu trabalho.,1
13,Parcerias estratégicas,Gosto de incentivar colegas a explorar novas abordagens para melhorar processos.,1
14,Gerenciar processos,Acredito que mesmo processos eficazes podem ser revistos para identificar oportunidades de melhoria.,1
15,Melhorar processos,"Na minha função, busco clareza nos processos de trabalho para garantir eficiência.",1
16,Gerenciar o negócio,Sinto-me confiante nas minhas habilidades para executar bem minhas tarefas.,1
17,Gerenciar finanças,Tenho interesse em elaborar orçamentos e planejar recursos de forma eficaz.,1
18,Gerenciar risco, Apoio meus colegas a considerar riscos calculados para promover inovação.,1
19,Gerenciar tecnologia,Vejo a automação como uma ferramenta valiosa para aumentar a eficiência com menos recursos.,1
20,Plano de sucessão,"
Eu sei exatamente quem deve ser o próximo na fila para preencher meu papel de liderança.",1
21,Buscar aconselhamento, Acredito que minhas contribuições podem impactar positivamente as decisões e resultados.,1
22,Ambição,Gosto de desafiar limites e explorar novas possibilidades que outros podem não considerar.,1
23,Mostrar convicção,"Quando algo é significativo para mim, procuro expressar minhas opiniões e valores de forma assertiva.",1
24,Tomar atitudes,"Esforço-me para superar as expectativas sempre que possível, buscando excelência em minhas tarefas.",1
25,Negociação,Valorizo a construção de relacionamentos sólidos com clientes para promover confiança e satisfação.,1
26,Trabalhar com líderes sêniores,"Comprometo-me a ser transparente e comunicar os fatos, independentemente das circunstâncias.",1
27,Escrever profissionalmente,Tenho um projeto criativo pessoal que desejo desenvolver quando encontrar tempo adequado.,1
28,Verbalizar, Sou conhecido por ser direto e compartilhar meus pensamentos de maneira honesta.,1
29,Escuta ativa,Procuro estar acessível e disponível para apoiar e ouvir os outros quando necessário.,1
